Прайс-лист на 23 декабря 2025 г.,,,,,,,,
,,,,,,,,
Номенклатура.Группа,,,,,,,,оптовая
Номенклатура,,,,,,,,Цена
Гвоздика,,,,,,,,
Эустома дв Розита Бел,,,,,,,,"196,00"
Лилия,,,,,,,,
Лилия Амистад 100 см (10),,,,,,,,"558,00"
Лилия Анжела 10,,,,,,,,"412,00"
Лилия Ор Сантандер 10(10),,,,,,,,"352,00"
Лилия Таблденс,,,,,,,,"380,00"
Роза голландия,,,,,,,,
Грин Глоу 50 см куст (10),,,,,,,,"96,00"
Джесси 6 куст,,,,,,,,"119,00"
Джульетта 70 см куст (5),,,,,,,,"197,00"
Доминиция 6 куст,,,,,,,,"156,00"
Капучино 5 куст,,,,,,,,"127,00"
Роял Порцелина 6 куст,,,,,,,,"99,00"
Саммер Денс 50 см куст (10),,,,,,,,"120,00"
Файерворкс 50 см куст (10),,,,,,,,"75,00"
Фатал Аттра 5 куст,,,,,,,,"99,00"
Фатал Аттра 6 куст,,,,,,,,"132,00"
РОЗА ЭКВАДОР,,,,,,,,
Готча 50см Экв (25),,,,,,,,"107,00"
Готча 60см Экв (25),,,,,,,,"129,00"
Кахала 50см Экв (25),,,,,,,,"99,00"
Кахала 60см Экв(25),,,,,,,,"121,00"
Кэндлайт 50см TESSA(25),,,,,,,,"175,00"
Микс 40см Экв (25),,,,,,,,"79,00"
Микс 50см Экв (25),,,,,,,,"93,00"
"Микс 60см Экв (АННИ РОЗА, АТЛАС, САПФИ, ГУАЛИСИА, ФЛЁРАНДЕС, АЛЛЕГРИЯ, ЭВЕРБЛУМ АЛЛЕГРО)(25)",,,,,,,,"108,00"
Мондиал 60см Экв (25),,,,,,,,"104,00"
Нина 50см (СТАР+КОРАЗОН+МАТИЗ+ЭКО РОЗ+СОФИ+БЕЛЛА РОЗ+ЧАРМИНГ) Экв,,,,,,,,"82,00"
Нина 60см (СТАР+КОРАЗОН+МАТИЗ+ЭКО РОЗ+СОФИ+БЕЛЛА РОЗ+ЧАРМИНГ) Экв,,,,,,,,"120,00"
Пинк Мондиал 60см (ТЕССА) Экв(25),,,,,,,,"152,00"
Пинк Мондиал 70см Экв (СТАР+КОРАЗОН+МАТИЗ+ЭКО РОЗ+СОФИ+БЕЛЛА РОЗ+ЧАРМИНГ),,,,,,,,"145,00"
Пинк Мондиал 70см Экв(25),,,,,,,,"140,00"
Плэй Бланка (РОЗАПРИМА) 60см Экв(25),,,,,,,,"157,00"
Плэй Бланка (ТЕССА) 70см Экв(25),,,,,,,,"207,00"
Плэй Бланка 60см (СТАР+КОРАЗОН+МАТИЗ+ЭКО РОЗ+СОФИ+БЕЛЛА РОЗ+ЧАРМИНГ) Экв,,,,,,,,"149,00"
Фрутетто 70см Экв (СТАР+КОРАЗОН+МАТИЗ+ЭКО РОЗ+АЛТАС),,,,,,,,"147,00"
Эксплорер 50см Экв(25),,,,,,,,"94,00"
Эксплорер 60см (СТАР+КОРАЗОН+МАТИЗ+ЭКО РОЗ+СОФИ+БЕЛЛА РОЗ+ЧАРМИНГ)  Экв,,,,,,,,"145,00"
Эксплорер 60см Экв (25),,,,,,,,"100,00"
Эксплорер 70см Экв(25),,,,,,,,"122,00"
РОЗА ЭКВАДОР ПИОНОВИДНАЯ или КУСТОВАЯ,,,,,,,,
Ред/Пинк Монстер 50см Экв (25),,,,,,,,"134,00"
Хризантема,,,,,,,,
Балтика (5),,,,,,,,"131,00"
Бейб (5),,,,,,,,"140,00"
Калимба (5),,,,,,,,"119,00"
Кеннеди (5),,,,,,,,"108,00"
Командер Пинк (5),,,,,,,,"118,00"
Магнум бел. (10),,,,,,,,"216,00"
Ньютон  (5),,,,,,,,"120,00"
Пастел пинк (5),,,,,,,,"123,00"
Сантини Алтай (25),,,,,,,,"69,00"
Сантини Дориа Черри,,,,,,,,"78,00"
Сантини Кеннеди (25),,,,,,,,"69,00"
Сантини Пурпетта,,,,,,,,"82,00"
Сантини Росси Бел. (25),,,,,,,,"105,00"
Сантини Росси Гем ФСТ,,,,,,,,"99,00"
Сантини Сан-Ап (25),,,,,,,,"74,00"
Сантини Эллисон Салмон,,,,,,,,"120,00"
Туту од,,,,,,,,"173,00"
Чик (5),,,,,,,,"147,00"
